id,measurement_id,anatomy_id,update_timestamp,tx,ty,tz,r0,r1,r2,r3,method,obsolete,git_hash,git_repo,source_int_calibration_id,distortion_calibration_id,operator,display_time,click_count,keypress_count
1,1,2,"2024-11-12 16:37:12",-96.857,115.302,438.585,-0.603474,0.324094,0.244319,0.686361,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,947,127,30
2,1,1,"2024-11-12 16:37:12",-68.3966,92.848,500,0,0,0,1,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,947,127,30
3,1,2,"2024-11-12 16:45:20",-100.349,117.627,435.761,-0.603884,0.260632,0.197199,0.726985,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,328,30,33
4,1,1,"2024-11-12 16:45:20",-75.5887,71.9701,500,0,0,0.207945,0.978141,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,328,30,33
5,1,2,"2024-11-12 16:46:18",-100.349,117.627,435.761,-0.603884,0.260632,0.197199,0.726985,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,386,48,33
6,1,1,"2024-11-12 16:46:18",-82.957,120.969,384.362,-0.587674,-0.129142,-0.149708,0.784569,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,386,48,33
7,1,2,"2024-11-12 16:48:48",-100.349,117.627,435.761,-0.603884,0.260632,0.197199,0.726985,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,536,65,33
8,1,1,"2024-11-12 16:48:48",-96.0731,109.117,462.264,-0.521283,0.37093,0.295665,0.709406,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,536,65,33
9,1,2,"2024-11-12 16:57:53",-93.1336,119.518,435.645,-0.598271,0.287019,0.184321,0.725064,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,1007,106,314
10,1,1,"2024-11-12 16:57:53",-93.7265,124.022,434.467,-0.593136,0.302677,0.159601,0.728769,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,1007,106,314
11,1,2,"2024-11-12 18:09:02",-17.4538,74.6341,441.318,-0.487011,0.332308,0.213721,0.778919,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,294,42,159
12,1,1,"2024-11-12 18:09:02",-63.8077,33.1819,412.56,0.781068,-0.0859914,-0.475042,-0.396072,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,294,42,159
13,2,2,"2024-11-12 18:14:20",-11.5679,80.6981,437.155,-0.491757,0.361174,0.201238,0.76631,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,306,80,9
14,2,1,"2024-11-12 18:14:20",-67.9681,33.0661,412.38,0.772423,-0.0747668,-0.470799,-0.419668,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,306,80,9
15,2,2,"2024-11-12 18:17:46",-25.5932,76.6836,437.034,-0.501301,0.310587,0.222211,0.776437,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,512,104,39
16,2,1,"2024-11-12 18:17:46",-67.9681,33.0661,412.38,0.772423,-0.0747668,-0.470799,-0.419668,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,512,104,39
17,2,2,"2024-11-13 11:21:12",-24.1829,79.9901,432.921,-0.509745,0.310961,0.18987,0.779367,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,369,53,28
18,2,1,"2024-11-13 11:21:12",-63.8057,36.9573,414.115,0.765613,-0.104184,-0.486359,-0.407966,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,369,53,28
19,3,2,"2024-11-13 11:24:18",-28.8308,78.4249,431.57,-0.511901,0.307587,0.21494,0.772754,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,638,126,139
20,3,1,"2024-11-13 11:24:18",-69.9114,33.9616,414.46,0.765474,-0.078403,-0.489015,-0.410812,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,638,126,139
21,3,2,"2024-11-13 13:07:52",-25.4013,75.2669,436.237,-0.498843,0.327296,0.219999,0.771773,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,1077,178,242
22,3,1,"2024-11-13 13:07:52",-68.2486,39.4556,418.596,0.754153,-0.12669,-0.49626,-0.41101,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,1077,178,242
23,4,2,"2024-11-13 13:12:37",0,0,500,0,0,0,1,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,279,43,170
24,4,1,"2024-11-13 13:12:37",-72.5656,40.8191,410.116,0.76744,-0.0984341,-0.461037,-0.434502,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,279,43,170
25,4,2,"2024-11-13 13:33:57",-31.2219,76.9623,434.449,-0.501196,0.317235,0.22512,0.772972,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,855,107,297
26,4,1,"2024-11-13 13:33:57",-71.7849,40.4662,414.806,0.750431,-0.112583,-0.48218,-0.437813,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,855,107,297
27,5,2,"2024-11-13 13:45:30",-41.584,79.1273,429.868,-0.514327,0.284299,0.221544,0.778177,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,687,124,295
28,5,1,"2024-11-13 13:45:30",-74.9142,45.1861,411.429,0.74804,-0.121117,-0.465817,-0.456926,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,687,124,295
29,6,2,"2024-11-13 13:52:22",-41.1798,80.0419,433.949,-0.501556,0.314783,0.247106,0.767002,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,400,87,95
30,6,1,"2024-11-13 13:52:22",-79.8752,48.2955,410.027,0.740619,-0.122286,-0.454056,-0.479961,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,400,87,95
31,7,2,"2024-11-13 14:05:41",-55.3873,80.222,426.333,-0.525152,0.277665,0.247789,0.765322,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,793,175,218
32,7,1,"2024-11-13 14:05:41",-82.5742,52.1441,412.711,0.730062,-0.146345,-0.46505,-0.478875,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,793,175,218
33,8,2,"2024-11-13 14:48:42",-52.9828,84.397,427.02,-0.516665,0.313295,0.24442,0.758395,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,400,95,89
34,8,1,"2024-11-13 14:48:42",-87.2736,57.0246,411.842,0.719935,-0.159691,-0.454066,-0.500016,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,400,95,89
35,9,2,"2024-11-13 14:56:45",-63.5286,86.0059,425.86,-0.52241,0.305819,0.271345,0.748287,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,483,94,111
36,9,1,"2024-11-13 14:56:45",-93.2494,60.062,406.687,0.723915,-0.154949,-0.440341,-0.507974,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,483,94,111
37,10,2,"2024-11-13 15:01:42",-68.8254,88.5543,421.087,-0.523373,0.297805,0.248933,0.758568,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,276,53,161
38,10,1,"2024-11-13 15:01:42",-97.2336,65.8293,408.207,0.707989,-0.179917,-0.444289,-0.518642,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,276,53,161
39,9,2,"2024-11-13 15:02:11",-63.3339,88.4553,421.069,-0.53807,0.312904,0.265493,0.736264,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,516,96,111
40,9,1,"2024-11-13 15:02:11",-93.2494,60.062,406.687,0.723915,-0.154949,-0.440341,-0.507974,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,516,96,111
41,10,2,"2024-11-13 15:02:21",-69.0697,91.738,414.003,-0.546438,0.303735,0.23921,0.74292,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,291,55,161
42,10,1,"2024-11-13 15:02:21",-97.2336,65.8293,408.207,0.707989,-0.179917,-0.444289,-0.518642,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,291,55,161
43,9,2,"2024-11-13 15:02:42",-64.2161,90.8221,414.897,-0.55738,0.312787,0.253699,0.726036,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,527,97,111
44,9,1,"2024-11-13 15:02:42",-93.2494,60.062,406.687,0.723915,-0.154949,-0.440341,-0.507974,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,527,97,111
45,9,2,"2024-11-13 15:04:12",-63.0404,86.2572,422.985,-0.525,0.291534,0.239246,0.762984,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,617,115,126
46,9,1,"2024-11-13 15:04:12",-93.2494,60.062,406.687,0.723915,-0.154949,-0.440341,-0.507974,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,617,115,126
47,10,2,"2024-11-13 15:05:49",-68.5928,89.7243,420.103,-0.527892,0.298615,0.245748,0.756153,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,392,72,192
48,10,1,"2024-11-13 15:05:49",-97.2336,65.8293,408.207,0.707989,-0.179917,-0.444289,-0.518642,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,392,72,192
49,11,2,"2024-11-13 15:10:12",-77.3723,92.795,416.954,-0.531313,0.283129,0.246498,0.759463,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,269,71,51
50,11,1,"2024-11-13 15:10:12",-104.166,69.6778,404.114,0.70243,-0.182585,-0.428355,-0.538299,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,269,71,51
51,11,2,"2024-11-13 15:13:11",-77.8039,90.4988,416.285,-0.534955,0.291349,0.255901,0.750636,MANMATCH,NULL,8713217f7b28e8f725805cc8b5c4b1ae8cc41a44,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,6,root@localhost,443,97,93
