id,measurement_id,anatomy_id,update_timestamp,tx,ty,tz,r0,r1,r2,r3,method,obsolete,git_hash,git_repo,source_int_calibration_id,distortion_calibration_id,operator,display_time,click_count,keypress_count
335,61,2,17.11.2024 14:46,-26.2994,-45.5958,385.36,0.475755,0.677263,0.285655,-0.483087,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,707,264,0
336,61,1,17.11.2024 14:46,-60.2772,37.4056,365.038,0.503843,0.452164,0.56951,-0.466206,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,707,264,0
339,62,2,17.11.2024 14:55,-25.1787,-54.0297,388.313,0.504919,0.638449,0.303907,-0.495055,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,9,root@localhost,416,151,0
340,62,1,17.11.2024 14:55,-52.69,29.6813,371.053,0.518831,0.416956,0.582936,-0.465992,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,9,root@localhost,416,151,0
343,63,2,17.11.2024 15:03,-24.4665,-66.7977,390.408,0.515202,0.600886,0.340556,-0.507469,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,9,root@localhost,317,114,0
344,63,1,17.11.2024 15:03,-46.2989,20.6311,379.244,0.512612,0.401943,0.593539,-0.472634,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,9,root@localhost,317,114,0
357,64,2,17.11.2024 15:12,-16.5699,-78.5578,388.735,0.50437,0.564956,0.391749,-0.522464,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,8,root@localhost,541,150,0
358,64,1,17.11.2024 15:12,-30.4453,12.2036,383.361,0.50938,0.399122,0.610901,-0.456107,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,8,root@localhost,541,150,0
363,65,2,17.11.2024 16:48,-26.6495,-89.3583,391.733,0.527571,0.506258,0.44471,-0.517305,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,368,134,0
364,65,1,17.11.2024 16:48,-35.3705,3.47561,391.382,0.522137,0.36891,0.61374,-0.463251,MANMATCH,,95099ea72e6ce3918c9e8c4a8641a87ca416d95c,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,1,1,root@localhost,368,134,0
