 id ,measurement_id,anatomy_id,update_timestamp,tx,ty,tz,r0,r1,r2,r3,method,obsolete,git_hash,git_repo,source_int_calibration_id,distortion_calibration_id,operator,display_time,click_count,keypress_count
227,12,2,19.05.2025 16:13,-50.4773,11.4631,458.128,0.735693,-0.223122,-0.38806,-0.508313,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,1,root@localhost,126,1,0
228,12,1,19.05.2025 16:13,-53.1546,14.2758,447.684,0.756369,-0.215185,-0.330107,-0.522141,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,1,root@localhost,126,1,0
229,13,2,19.05.2025 16:13,-46.908,18.0398,460.466,0.723193,-0.223286,-0.364183,-0.542684,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,48,1,0
230,13,1,19.05.2025 16:13,-51.962,16.816,446.277,0.759663,-0.19514,-0.322554,-0.529898,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,48,1,0
231,14,2,19.05.2025 16:14,-53.8487,19.5248,442.029,0.729613,-0.205471,-0.322328,-0.567056,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,42,1,0
232,14,1,19.05.2025 16:14,-57.8006,17.1195,435.155,0.759989,-0.192928,-0.306605,-0.539619,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,42,1,0
233,15,2,19.05.2025 16:14,-64.593,19.3551,428.533,0.715135,-0.206121,-0.294859,-0.599295,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,44,1,0
234,15,1,19.05.2025 16:14,-68.6181,17.171,426.185,0.733819,-0.225957,-0.321621,-0.554088,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,44,1,0
235,16,2,19.05.2025 16:15,-81.7997,17.7679,414.813,0.703967,-0.200862,-0.266387,-0.626995,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,48,2,0
236,16,1,19.05.2025 16:15,-87.0745,13.8705,402.527,0.729241,-0.19511,-0.286025,-0.590194,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,48,2,0
237,17,2,19.05.2025 16:15,-93.642,18.4193,403.99,0.689645,-0.215464,-0.244664,-0.64661,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,54,1,0
238,17,1,19.05.2025 16:15,-100.321,15.4088,397.512,0.711503,-0.227815,-0.283181,-0.601393,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,54,1,0
239,18,2,19.05.2025 16:15,-98.9987,20.2027,398.915,-0.649407,0.235373,0.243878,0.68073,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,51,1,0
240,18,1,19.05.2025 16:15,-108.818,17.3615,389.951,0.722055,-0.225747,-0.258519,-0.600702,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,51,1,0
241,19,2,19.05.2025 16:16,-110.955,21.3773,397.449,0.678,-0.214827,-0.2193,-0.667886,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,176,7,63
242,19,1,19.05.2025 16:16,-112.982,20.3498,384.67,0.706628,-0.229467,-0.234873,-0.626783,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,176,7,63
243,20,2,19.05.2025 16:16,-114.472,23.1253,389.352,-0.66297,0.219788,0.217136,0.681921,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,80,3,7
244,20,1,19.05.2025 16:16,-114.857,24.9714,384.874,0.686885,-0.243583,-0.21956,-0.648575,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,18,root@localhost,80,3,7
245,21,2,19.05.2025 16:17,-115.998,26.726,387.935,-0.653868,0.226063,0.20687,0.691778,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,97,5,15
246,21,1,19.05.2025 16:17,-113.03,35.4757,382.47,-0.667648,0.266257,0.173644,0.673202,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,97,5,15
247,22,2,19.05.2025 16:17,-116.62,33.8837,387.975,-0.645472,0.242252,0.211067,0.692914,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,91,6,15
248,22,1,19.05.2025 16:17,-109.887,42.6321,385.985,-0.639321,0.291223,0.17101,0.690806,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,91,6,15
249,23,2,19.05.2025 16:18,-109.455,40.1499,386.383,-0.634316,0.264346,0.19787,0.699007,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,90,5,25
250,23,1,19.05.2025 16:18,-107.672,45.8072,388.542,-0.617958,0.291395,0.172642,0.709515,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,90,5,25
251,24,2,19.05.2025 16:18,-105.148,47.7726,392.432,-0.609881,0.295019,0.209678,0.705014,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,70,3,13
252,24,1,19.05.2025 16:18,-103.021,53.1576,392.758,-0.58779,0.324701,0.159521,0.723619,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,70,3,13
253,25,2,19.05.2025 16:18,-108.226,54.1454,389.628,-0.607495,0.284006,0.200077,0.714325,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,53,2,0
254,25,1,19.05.2025 16:18,-98.7092,61.0671,395.09,-0.563228,0.33686,0.147646,0.739933,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,53,2,0
255,26,2,19.05.2025 16:19,-103.587,62.4214,392.922,-0.585844,0.302215,0.193738,0.72658,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,74,2,50
256,26,1,19.05.2025 16:19,-94.6101,68.4328,398.988,-0.536118,0.353824,0.139327,0.75364,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,74,2,50
257,27,2,19.05.2025 16:19,-95.7747,70.673,398.383,-0.557232,0.318942,0.183385,0.744405,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,46,1,0
258,27,1,19.05.2025 16:19,-88.3392,76.5576,403.089,-0.515657,0.367817,0.132354,0.762424,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,46,1,0
259,28,2,19.05.2025 16:19,-87.5719,78.285,405.541,-0.527615,0.329582,0.170975,0.764045,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,59,2,21
260,28,1,19.05.2025 16:19,-80.7803,83.1791,409.527,-0.495657,0.380669,0.137109,0.768516,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,59,2,21
261,29,2,19.05.2025 16:20,-75.932,83.2961,415.694,-0.487982,0.348295,0.162158,0.783753,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,60,2,36
262,29,1,19.05.2025 16:20,-72.7891,86.4822,416.395,-0.48428,0.382875,0.152058,0.771854,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,60,2,36
263,30,2,19.05.2025 16:20,-53.0979,84.9702,423.134,-0.450167,0.382112,0.123435,0.797561,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,38,0,0
264,30,1,19.05.2025 16:20,-61.4698,84.828,426.189,-0.477317,0.394626,0.176478,0.765045,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,38,0,0
265,31,2,19.05.2025 16:20,-21.8225,66.1043,451.593,-0.354459,0.446128,0.142328,0.809365,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,36,0,0
266,31,1,19.05.2025 16:20,-44.2182,75.3559,438.353,-0.492033,0.382903,0.212139,0.752519,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,36,0,0
267,32,2,19.05.2025 16:21,-5.80839,54.323,468.309,-0.307827,0.422363,0.135977,0.841643,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,41,1,0
268,32,1,19.05.2025 16:21,-29.1552,66.42,445.854,-0.530464,0.355311,0.229076,0.73477,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,41,1,0
269,33,2,19.05.2025 16:21,13.0479,43.6666,483.129,-0.251887,0.448026,0.133733,0.847314,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,106,3,95
270,33,1,19.05.2025 16:21,-23.4729,62.8948,454.076,-0.562129,0.352522,0.279216,0.694102,AUTOMATION,NULL,cceed87d71444417d1f41ccc9666e35f150f700b,,1,17,root@localhost,106,3,95
